Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Acid Malt,Germany,X,3,0,1.027,10,Acid malt contains acids from natural lactic acids. Used by German brewers to adjust malt PH without chemicals to adhere to German purity laws. Also enhances the head retention.
Acidulated (Weyermann),Germany,,1.8,0,1.030,10,"Used in Germany to lower PH levels without resorting to chemicals. Lowers mash pH levels, lightens color, improves flavor stability."
Acidulated Malt,German,,3.4,0,0.000,0,
Amber Malt,United Kingdom,X,22,20,1.035,20,"Roasted specialty malt used in some English browns, milds and old ales to add color and a biscuit taste. Intense flavor - so limit use. Low diastatic power so must be mashed with well modified malts."
Aromatic Malt,Belgium,X,26,29,1.036,10,Provides a very strong malt flavor and aroma to your beer.
"Barley, Flaked",US,X,1.7,0,1.032,20,Adds significant body to Porters and Stouts. High haze producing protein prevents use in light beers.
"Barley, Raw",US,X,2,0,1.028,15,"Raw, unmalted barley can be used to add body to your beer. Use in homebrew requires very fine milling combined with a decoction or multi-stage mash. Performs best when used in small quantities with well modified grains."
"Barley, Roasted",US,,300,0,1.025,10,"Roasted at high temperature to create a burnt, grainy, coffee like flavor. Imparts a red to deep brown color to beer, and very strong roasted flavor. Use 2-4% in Brown ales to add a nutty flavor, or 3-10% in Porters and Stouts for coffee flavor."
"Barley, Torrefied",US,X,1.7,0,1.036,40,"Raw barley that has been ""popped"" open to open kernels Used in place of raw barley for faster conversion and higher yields. High in haze producing protein"
Belgian Debittered Black Malt,,,550,0,1.010,0,
Biscuit Malt,Belgian,X,23,6,1.036,10,"Use for English ales, brown ales and porters. Adds a biscuit like flavor and aroma. Can be used as a substitute for toasted malt."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Black (Patent) Malt,US,,500,0,1.025,10,"Dark color and dry roasted flavor characteristic of Stouts and Porters Use for: Coloring in small amounts, or flavoring of Stouts and Porters in larger amounts."
Black Barley (Briess),US,,500,0,1.032,100,
Black Barley (Stout),US,,500,0,1.025,10,"Unmalted barley roasted at high temperature to create a dry, coffee like flavor. Imparts a sharp acrid flavor characteristic of dry stouts. Gives ""dryness"" to a stout or porter -- much more so than regular Roasted Barley"
Blackprinz Malt,US,,500,0,1.025,10,"Dark color and dry roasted flavor characteristic of Stouts and Porters Use for: Coloring in small amounts, or flavoring of Stouts and Porters in larger amounts."
Blackprinz Malt (Briess),US,,500,0,1.033,10,"Dehusked Black Malt, similar to Weyermann CARAFA® Special. Very delicate roasted flavors. No astrigent or bitter aftertaste. Color: 500 L"
Brewers Malt 6-Row (Briess),US,,1.8,160,1.036,100,"Flavor:Mild Grainy Malty More husk than 2-row, well suited for high adjunct brewing"
British Crystal 50-60L,,,55,0,0.000,0,
Brown Malt,United Kingdom,X,65,0,1.032,10,"Imparts a dry, biscuit flavor. Used in nut brown ales, porters and some Belgian ales."
Brumalt,Germany,X,23,0,1.033,10,"Dark German malt developed to add malt flavor of Alt, Marzen and Oktoberfest beers. Helps create authentic maltiness without having to do a decoction mash. Rarely available for homebrewers."
Cara-Pils/Dextrine,US,,2,0,1.033,20,"Significantly increases foam/head retention and body of the beer. Also sold under the names ""Dextrine"" and ""Cara-Foam"""
Caraamber,US,,30,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Caraaroma,Germany,,130,0,1.035,15,"Very dark crystal malt - similar to a crystal 120 or Caramunich 120 malt. Adds strong caramel flavor, red color, and malty aroma."
Carafa I,Germany,,337,0,1.032,5,"Used to intensify aroma and color in dark, Munich beers and stouts."
Carafa I (Weyermann),Germany,,320,0,1.036,5,"Chocolate malt. Dark beers, Alts, Bockbiers. Adds color and aroma."
Carafa II,Germany,,412,0,1.032,5,"Used to intensify aroma and color in dark, Munich beers and stouts."
Carafa III,Germany,,525,0,1.032,5,Dark color and aroma - used in some German beers
Carafa Special I (Weyermann),Germany,,320,0,1.036,5,"Chocolate malt. Dark beers, Alts, Bockbiers. Adds color and aroma. De-husked, smoother tasting"
Carafa Special II (Weyermann),Germany,,415,0,1.036,5,"De-husked chocolate malt for a smoother flavor. Adds body, color, aroma. Dark beers, Alts, Bockbiers"
Carafa Special II (Weyermann),Germany,,415,0,1.036,5,"De-husked chocolate malt for a smoother flavor. Adds body, color, aroma. Dark beers, Alts, Bockbiers"
Carafa Special II (Weyermann),Germany,,415,0,1.036,5,"De-husked chocolate malt for a smoother flavor. Adds body, color, aroma. Dark beers, Alts, Bockbiers"
Carafoam,US,,2,0,1.033,20,"Significantly increases foam/head retention and body of the beer. Also sold under the names ""Dextrine"" and ""Cara-Pils (TM)"""
CaraHell,German,,11,0,0.000,0,
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Caramel / Crystal 60L,American,,60,0,0.000,0,
Caramel / Crystal 60L,American,,60,0,0.000,0,
Caramel Malt - 120L (Briess),US,,120,0,1.032,0,"Pronounced Caramel, Burnt Sugar, Raisiny, Prunes Deep Red Color 3-15% in Amber &Red beers. 10-15% in Bock 7-15% in Dark beers 10-15% in Porter &Stout"
Caramel Malt - 120L (Briess),US,,120,0,1.032,0,"Pronounced Caramel, Burnt Sugar, Raisiny, Prunes Deep Red Color 3-15% in Amber &Red beers. 10-15% in Bock 7-15% in Dark beers 10-15% in Porter &Stout"
Caramel Malt - 80L 6-Row (Briess),US,,80,0,1.033,0,"Pronounced Caramel, Slight Burnt Sugar, Raisniny, PruneRed to Deep Red3-15% in Amber and Red beers.10-15% in Bock beers.7-15% in Dark beers.10-15% in Porter and Stout."
Caramel Wheat Malt,Germany,,46,0,1.035,15,Caramel wheat malt - emphasizes wheat malt aroma and adds color to the beer. Popular for Dunkelweizens. Also known as Carawheat -- which is a registered trademark of Wyermann Malting.
Caramel/Crystal Malt - 10L,US,,10,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 150L,US,,150,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 15L,US,,15,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 20L,US,,20,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 30L,US,,30,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Caramel/Crystal Malt - 40L,US,,40,0,1.034,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 60L,US,,60,0,1.034,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 80L,US,,80,0,1.034,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt - 90L,US,,90,0,1.034,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caramel/Crystal Malt -120L,US,,120,0,1.033,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt. Very Dark"
