Hop,Origin,Type,Alpha,Beta,Notes
Admiral,United Kingdom,Bittering,14.75,5.60,"Bittering hops derived from Wye Challenger. Good high-alpha bittering hops. Used for: Ales Aroma: Primarily for bittering Substitutes: Target, Northdown, Challenger"
Ahtanum,U.S.,Aroma,6.00,5.25,"Distinctive aromatic hops with moderate bittering power from Washington. Used for: American ales and lagers Aroma: Distinctive floral and citrus aromas Substitutes: Amarillo, Cascade"
Amarillo,U.S.,Aroma,8.50,6.00,"Unknown origin, but character similar to Cascade. Used for both bitterness and aroma. Used for: IPAs, Ales Aroma: Citrus, flowery Substitutes: Cascade, Centennial"
Amarillo Gold,U.S.,Aroma,0.00,0.00,"Unknown origin, but character similar to Cascade. Used for both bitterness and aroma.Used for: IPAs, AlesAroma: Citrus, flowerySubstitutes: Cascade, Centennial"
Amarillo(mine),U.S.,Aroma,0.00,0.00,"Discovered and introduced by Vigil Gamache Farms Inc. in Washington State. Character similar to Cascade. Often used as a late kettle or dry hop addition to American style Pale Ales and IPA’s due to its signature aroma characteristics. Used for both bitterness and aroma. Used for: IPAs, Ales Aroma: Intensely fruity (citrus, melon, and stone friuts), floral, tropical notes. Substitutes: Cascade, Centennial, Simcoe Storage: Good 8-11% AA / 6-7% Beta"
Apollo,U.S.,Bittering,17.00,6.75,"Super high alpha variety from the Hopsteiner breeding program released in 2006. High alpha and low cohumulone makes it a great bittering hop. Adds a strong grapefruit/hop note if added late in boil. Substitutes: Nugget, Columbus, Tomahawk, Zeus"
Aquila,U.S.,Aroma,6.50,3.00,Aroma hops developed in 1988. Limited use due to high cohumolone. Used for: Aroma hops Substitutes: Cluster No longer commercially grown.
Atlas,Slovenia,Bittering,9.00,3.70,"A cross between Brewers Gold and Slovenian wild hops. Primarily a bittering hop with pleasant bitterness and aroma. Used for: Bittering ales, lagers Substitutes: Brewers Gold"
Aurora,Slovenia,Both,8.25,3.50,Also called Super Styrian. This is a hybrid between Northern Brewer and TG. It has a pleasant hoppy aroma similar to Styrian Goldings but lighter. Used for: Often mixed with other hops in lagers. Substitutes: Styrian Goldings
Australian Summer,Australia,Aroma,6.00,5.45,"Aroma hop from Australia. It features balanced citrus and stone fruit flavors, but showcases distinct apricot and melon characteristics in dry hopping applications."
Banner,U.S.,Bittering,10.00,4.00,Bittering hops developed in 1988. Use largely discontinued due to poor storage. Used for: U.S. style ales Substitutes: Cluster
Bobek,Slovenia,Both,5.25,5.00,Also called Styrian Golding B - a cross between Northern Brewer and a TG seedling. Pleasant hop aroma and flavor. Used for: Moderate English ales and lagers/Pilsners Substitutes: Northern Brewer
Bramling Cross,United Kingdom,Aroma,6.00,3.00,"Developed in 1927 from commercial Goldings and wild hop variety. Used for: ESB, Bitters, Pale Ale Aroma: Mild, fruity, currant aroma. Substitutes: East Kent Goldings, Progress, Whitbred"
Bravo,U.S.,Bittering,15.50,3.50,"A second generation super high alpha hops from the Hopsteiner breeding program released in 2006. Good bittering hop. Aroma: Fruity and floral aroma. Substitutes: Columbus, Zeus, Tomahawk"
