Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
Frankenyeast,Various,Ale,Liquid,62°F - 75°F,75.0%,Low,"A blend of twenty-five yeast strains, most of which are English or Belgian in origin.

Best for: Anything where interesting yeast character is desired."
Nottingham Ale Yeast,White Labs,Ale,Liquid,32°F - 32°F,77.5%,,
Array American Hefeweizen Ale Yeast WLP320,White Labs,Ale,Liquid,65°F - 69°F,76.0%,Low,
WLP001 California Ale,White Labs,Ale,Liquid,68°F - 73°F,76.5%,High,"Very clean flavor, balance and stability. Accentuates hop flavor Versitile - can be used to make any style ale.

Best for: American Style Ales, Ambers, Pale Ales, Brown Ale, Strong Ale"
WLP002 English Ale,White Labs,Ale,Liquid,65°F - 68°F,66.5%,Very High,"Classic ESB strain best for English style milds, bitters, porters and English style stouts. Leaves a clear beer with some residual sweetness.

Best for: English Pale Ale, ESB, India Pale Ale, Brown Ale, Porter, Sweet Stouts and Strong Ales"
WLP003 German Ale II,White Labs,Ale,Liquid,65°F - 70°F,76.5%,Medium,"Strong sulfer component will reduce with aging. Clean flavor, but with more ester production than regular German Ale Yeast.

Best for: Kolsch, Alt and German Pale Ales"
WLP004 Irish Ale Yeast,White Labs,Ale,Liquid,65°F - 68°F,71.5%,Medium,"Excellent for Irish Stouts. Produces slight hint of diacetyl balanced by a light fruitiness and a slightly dry crispness.

Best for: Irish Ales, Stouts, Porters, Browns, Reds and Pale Ale"
WLP005 British Ale,White Labs,Ale,Liquid,67°F - 74°F,70.5%,High,"This yeast has higher attenuation than the White Labs English Ale yeast strains. Produces a malty flavored beer.

Best for: Excellent for all English style ales including bitters, pale ale, porters and brown ale."
WLP006 Bedford British Ale,White Labs,Ale,Liquid,65°F - 70°F,76.0%,High,"High attenuation. Ferments dry with high flocculation. Distinctive ester profile. Good for most English ale styles.

Best for: English style ales - bitter, pale, porter and brown ale"
WLP007 Dry English Ale,White Labs,Ale,Liquid,65°F - 70°F,75.0%,High,"Clean, Highly flocculant, and highly attentive yeast. Similar to White labs English Ale yeast, but more attentive. Suitable for high gravity ales.

Best for: Pale Ales, Amber, ESB, Brown Ales, Strong Ales"
WLP008 East Coast Ale,White Labs,Ale,Liquid,68°F - 73°F,72.5%,Low,"White labs ""Brewer Patriot"" strain can be used to reproduce many of the American versions of classic beer styles. Very clean with low esters. 

Best for: American Ales, Golden ales, Blonde Ale, Pale Ale and German Alt styles"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP009 Australian Ale Yeast,White Labs,Ale,Liquid,65°F - 70°F,72.5%,High,"White Labs entry for Australian Ales. Produces a clean, malty finish with pleasant ester character. Bready character. Can ferment clean at high temperatures.

Best for: Australian Ales, English Ales"
WLP011 European Ale,White Labs,Ale,Liquid,65°F - 70°F,67.5%,Medium,"Malty, Northern European ale yeast. Low ester production, low sulfer, gives a clean profile. Low attenuation contributes to malty taste.

Best for: Alt, Kolsch, malty English Ales, Fruit beers"
WLP013 London Ale,White Labs,Ale,Liquid,66°F - 71°F,71.0%,Medium,"Dry, malty ale yeast. Produces a complex, oak flavored ester character. Hop bitterness comes through well.

Best for: Classic British Pale Ales, Bitters and Stouts"
WLP022 Essex Ale Yeast,White Labs,Ale,Liquid,66°F - 70°F,73.5%,Medium,"Flavorful British yeast with a drier finish than many ale yeasts. Bready and fruity in character. Well suited for top cropping (collecting). Does not flocculate as much as WLP005 or WLP002.

Best for: British milds, pale ales, bitters, stouts."
WLP023 Burton Ale,White Labs,Ale,Liquid,68°F - 73°F,72.0%,Medium,"Burton-on-trent yeast produces a complex character. Flavors include apple, pear, and clover honey.

Best for: All English styles including Pale Ale, IPA, Porter, Stout and Bitters."
